Allergy,Age_Type,Food_Type,Food_Item,Amount_Taken,Symptoms
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Raw citrus fruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Raw citrus fruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Corn Allergy,Adult,Cereal grain and pulse,Corn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Corn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Corn Products,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Corn Products,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Corn flour,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Corn flour,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Popcorn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,Popcorn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,cornflakes,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Adult,Cereal grain and pulse,cornflakes,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn Products,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn Products,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn flour,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Corn flour,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Popcorn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,Popcorn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,cornflakes,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Children / Adolescents,Cereal grain and pulse,cornflakes,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn Products,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn Products,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn flour,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Corn flour,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Popcorn,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,Popcorn,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,cornflakes,Large Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Corn Allergy,Infant / Toddlers,Cereal grain and pulse,cornflakes,Small Amount,"['Runny or stuffed nose', 'Loss of consciousness', 'Rapid and irregular pulse', 'Itchiness in the mouth', 'Dizziness']"
Gluten Allergy,Adult,Cereal grain and pulse,Barley,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Barley,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Beer,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Beer,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,French fries,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,French fries,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Pastas,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Pastas,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Seasoned snack food,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Seasoned snack food,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Wafers,Large Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Adult,Cereal grain and pulse,Wafers,Small Amount,"['Inflammation in the small intestine', 'Frequent diarrhea / Constipation', 'Fatigue ', 'Blistering skin condition', 'Leg or arm numbness', 'Eye irritation', 'Canker sores inside the mouth']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Barley,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Barley,Small Amount,['Frequent Inflammation']
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Beer,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Beer,Small Amount,['Frequent Inflammation']
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,French fries,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,French fries,Small Amount,['Frequent Inflammation']
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Pastas,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Pastas,Small Amount,['Frequent Inflammation']
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Seasoned snack food,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Seasoned snack food,Small Amount,['Frequent Inflammation']
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Wafers,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Children / Adolescents,Cereal grain and pulse,Wafers,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Barley,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Barley,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Beer,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Beer,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,French fries,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,French fries,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Pastas,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Pastas,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Seasoned snack food,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Seasoned snack food,Small Amount,['Frequent Inflammation']
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Wafers,Large Amount,"['Diarrhea with smelly stools', 'Vomiting', 'Abdominal distention']"
Gluten Allergy,Infant / Toddlers,Cereal grain and pulse,Wafers,Small Amount,['Frequent Inflammation']
Histamine Allergy,Adult,SeaFood,Fish,Large Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Adult,SeaFood,Fish,Small Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Adult,SeaFood,Smoked meats,Large Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Adult,SeaFood,Smoked meats,Small Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Children / Adolescents,SeaFood,Fish,Large Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Children / Adolescents,SeaFood,Fish,Small Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Children / Adolescents,SeaFood,Smoked meats,Large Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Children / Adolescents,SeaFood,Smoked meats,Small Amount,"['Reddened Skin', 'Raised circular weals', 'Itchy skin and rash', 'Indigestion', 'Swollen, waterly eyes', 'Lightheadedness', 'Vomiting', 'Diarrhea']"
Histamine Allergy,Infant / Toddlers,SeaFood,Fish,Large Amount,"['Reddened Skin', 'Raised circular weals']"
Histamine Allergy,Infant / Toddlers,SeaFood,Fish,Small Amount,"['Reddened Skin', 'Raised circular weals']"
Histamine Allergy,Infant / Toddlers,SeaFood,Smoked meats,Large Amount,"['Reddened Skin', 'Raised circular weals']"
Histamine Allergy,Infant / Toddlers,SeaFood,Smoked meats,Small Amount,"['Reddened Skin', 'Raised circular weals']"
Legume Allergy,Adult,Cereal grain and pulse,Beans,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Beans,Small Amount,"['Swelling in the face', 'Nausea and vomiting']"
Legume Allergy,Adult,Cereal grain and pulse,Dried seeds,Large Amount,"['Swelling in the face', 'Nausea and vomiting']"
